Topic,Words,Frequency,Timestamp
37,"insulinoma, hypoglycemia, insulinomas, ghrelin, hypoglycemic",24,2020.0
38,"crlm, metastases, colorectal, clm, liver",16,2020.0
39,"intake, consumption, coffee, dietary, grains",11,2020.0
40,"stent, sems, biliary, placement, obstruction",21,2020.0
41,"abstrackr, eppireviewer, machine, lr, learning",6,2020.0
42,"parp, parpi, olaparib, parp1, inhibitors",21,2020.0
43,"singlecell, scrnaseq, sequencing, metaplastic, heterogeneity",12,2020.0
44,"nutritional, nutrition, malnutrition, enteral, parenteral",14,2020.0
45,"ipmn, intraductal, papillary, ipmns, mucinous",13,2020.0
46,"lnc00675, lncrnas, palncs, signature, lncrna",6,2020.0
47,"vein, venous, reconstruction, mesenteric, pvr",19,2020.0
48,"cachexia, muscle, wasting, cachectic, skeletal",23,2020.0
49,"prrt, radionuclide, somatostatin, peptide, receptor",16,2020.0
50,"nlr, plr, lmr, ratio, mpv",27,2020.0
51,"glycosylation, lectin, glycans, haptoglobin, glycan",14,2020.0
52,"evs, vesicles, extracellular, ev, cargoes",12,2020.0
53,"caregivers, depression, psychological, anxiety, intervention",10,2020.0
54,"naliri, irinotecan, liposomal, 5fulv, naliri5fulv",12,2020.0
55,"usp5, fbxw7, usp22, ubiquitin, dubs",13,2020.0
56,"pufa, causal, mendelian, mr, n6",2,2020.0
57,"sbrt, stereotactic, radiation, gy, dose",17,2020.0
58,"insulin, islets, secretion, glucose, glucagon",24,2020.0
59,"nerves, perineural, scs, pni, duloxetine",10,2020.0
60,"kras, lupeol, ks58, ras, mutant",7,2020.0
61,"hcc, immunerelated, immune, signature, hepatocellular",10,2020.0
62,"msup6supa, m6a, alkbh5, regulators, modification",8,2020.0
63,"adjuvant, folfirinox, neoadjuvant, resectable, brpc",15,2020.0
64,"metabolism, metabolic, pdp1, glucose, reprogramming",13,2020.0
65,"elns, gastric, gastrectomy, lagc, neoadjuvant",19,2020.0
66,"hipec, intraperitoneal, peritoneal, hyperthermic, pipac",11,2020.0
67,"cca, cholangiocarcinoma, clk3, aurka, icca",7,2020.0
68,"lenvatinib, taces, tace, patace, pvv",4,2020.0
69,"exosomes, exo, paca, osteoporosis, exosome",8,2020.0
70,"channels, channel, casup2sup, ion, trpv6",17,2020.0
71,"hcc, lncrna, noncoding, rna, long",24,2020.0
72,"btc, tract, biliary, keynote028, keynote158",6,2020.0
73,"pannets, pannet, neuroendocrine, pnets, inets",18,2020.0
74,"ire, electroporation, irreversible, lapc, ablation",28,2020.0
75,"cystic, cysts, guidelines, pcls, surveillance",18,2020.0
76,"msi, mmr, dmmr, microsatellite, mismatch",14,2020.0
77,"metabolites, metabolomics, metabolite, metabolomic, metabolic",15,2020.0
78,"splenic, preservation, spleen, spleenpreserving, distal",7,2020.0
79,"ctcs, ctc, circulating, pvctcs, frctc",12,2020.0
80,"gallbladder, gbc, cholecystectomy, t2, lrc",15,2020.0
81,"elastography, ultrasound, ceus, shear, cheus",13,2020.0
82,"pain, plexus, neurolysis, celiac, cpb",19,2020.0
83,"adc, podxl, antibodydrug, gpc1, bi50",9,2020.0
84,"petct, suvmax, tlg, mtv, fdg",20,2020.0
85,"renal, rcc, nephrectomy, metastases, mrcc",10,2020.0
86,"metformin, diabetes, antihyperglycemic, t2dm, mellitus",21,2020.0
87,"snps, polymorphisms, susceptibility, loci, polymorphism",24,2020.0
88,"screening, hris, costeffective, ultrasound, familial",3,2020.0
89,"mri, ct, aip, pancreatitis, imaging",12,2020.0
90,"oligometastatic, rgp, metastases, synchronous, metachronous",12,2020.0
91,"sup188supre, sup99msuptclabeled, scintigraphy, fapi, sup99msuptcfapi34",1,2020.0
92,"mutations, pa138v, somatic, cdk2na, founder",5,2020.0
93,"diabetes, glycemic, dm, iori, nightshift",9,2020.0
94,"petct, dotatate, ga68, pet, gadotatoc",13,2020.0
95,"hcv, hepatitis, hbv, infection, daa",13,2020.0
96,"covid19, pandemic, survey, coronavirus, during",10,2020.0
97,"nomogram, calibration, nomograms, validation, ajcc",13,2020.0
98,"surufatinib, captem, placebo, everolimus, palbociclib",8,2020.0
99,"genes, degs, hub, differentially, ppi",16,2020.0
100,"magnetic, hyperthermia, nanoparticles, mf, mag",12,2020.0
101,"scnrank, crisprcas9, crispr, editing, tert",7,2020.0
102,"3d, spheroids, culture, spheroid, 96well",14,2020.0
103,"trypsin, ap, activin, crd, pancreatitis",12,2020.0
104,"gbc, gallbladder, iceacam6i, mir2055p, prkce",8,2020.0
105,"infectious, multidrugresistant, pathogens, bacterobilia, antibiotic",7,2020.0
106,"mitochondrial, uqcrc1, mid49, mitophagy, mitochondria",11,2020.0
107,"mirnas, mirna, panc, let7a, mir1246",12,2020.0
108,"dac, vitc, immunotherapy, immune, checkpoint",11,2020.0
109,"dpcar, celiac, artery, axis, arterial",8,2020.0
111,"nk, killer, dnam1, nk92, nkg2d",8,2020.0
112,"prehabilitation, exercise, physical, rehabilitation, programmes",3,2020.0
113,"anastomotic, gastrectomy, anastomosis, oesophagectomy, uncut",14,2020.0
114,"recurrence, staging, edition, pn0, pn1",12,2020.0
115,"integrin, pet, subvsubsub6sub, neurotensin, subvsub",8,2020.0
116,"adipose, obesity, obese, adipocytes, lean",8,2020.0
117,"germline, loy, ifnl, variants, pathogenic",5,2020.0
118,"margin, fs, r1, margins, resection",7,2020.0
119,"journals, cited, publications, cocitation, intellectual",1,2020.0
120,"tgf, rac1b, smad4, transforming, smad7",8,2020.0
121,"somatostatin, nets, lanreotide, diarrhoea, analogs",13,2020.0
122,"vitamin, vdr, calcipotriol, b6, fok1",10,2020.0
123,"sting, metformin, stingirf3ifn, microparticles, injections",2,2020.0
124,"insufficiency, exocrine, pert, pei, replacement",5,2020.0
125,"dogs, fpli, cats, coelomic, canine",10,2020.0
126,"srebp1c, nashhcc, fgf21, regeneration, nash",3,2020.0
127,"pbd, ptbd, drainage, biliary, jaundice",5,2020.0
128,"fluorescent, nirf, probe, nearinfrared, fluorescence",9,2020.0
129,"mcn, cystadenoma, serous, cystic, mucinous",11,2020.0
130,"basophils, neutrophils, neutrophil, dnase, nets",5,2020.0
131,"vhl, von, hippellindau, optic, hemangioblastoma",6,2020.0
132,"radiosensitivity, irradiation, radiation, photon, ibrutinib",12,2020.0
133,"mucins, mutyh, muc15, muc1, mucin",8,2020.0
134,"electrochemical, immunosensor, immunosensors, paperbased, detection",7,2020.0
135,"neuroendocrine, minens, minen, mixed, intradural",9,2020.0
136,"lt, transplantation, afp, downstaging, weds",2,2020.0
137,"zinc, zwint, zbed2, hsznt8, znsup2sup",5,2020.0
138,"lymphoma, bcell, ppl, dlbcl, smzl",8,2020.0
139,"sft, sarcoidosis, sarcoma, pancreas, synovial",17,2020.0
140,"ablation, eusguided, eusrfa, radiofrequency, ceheus",9,2020.0
141,"cbl0137, torin2, sorafenib, sorafenibresistant, bel5fu",3,2020.0
142,"hoxc10, mir9, hcc, c19mc, mir23a3p",9,2020.0
143,"ap, pancreatitis, acute, cp, severity",10,2020.0
144,"yap1, yap, hippo, yaptaz, amotl1",14,2020.0
145,"crmp4, tuft, panin, acinar, mice",7,2020.0
146,"exmir21, mirnas, exosomal, mir39405pmir8069, serum",7,2020.0
147,"gc, psca, cenpa, gastric, genes",9,2020.0
148,"pscs, stellate, cbpcatenin, hgfcmet, psc",9,2020.0
149,"bcg, tconvs, t1d, tregs, ne",4,2020.0
150,"claudin, claudin4, claudin18, 182, cldn182",3,2020.0
151,"eusbd, biliary, drainage, endoscopic, success",7,2020.0
152,"hifu, highintensity, ultrasound, sonicated, pain",3,2020.0
153,"tf, procoagulant, platelets, evtf, coagulation",10,2020.0
154,"pylori, pylorii, eradication, infection, helicobacter",7,2020.0
155,"hydrogels, mechanical, pva, gels, decellularized",3,2020.0
156,"nonessential, antineoplastic, medications, care, palliative",1,2020.0
157,"cmto1, circgfra1, hsacirc102559, hcc, mir181b5p",5,2020.0
158,"panniculitis, rhabdomyolysis, lipase, skin, cutaneous",6,2020.0
159,"kras, krashigh, tnbc, metabric, dependency",3,2020.0
160,"hypoxia, mint3, hif1, h12, hif1a",13,2020.0
161,"men1, armc5, endocrine, hyperparathyroidism, neoplasia",8,2020.0
162,"fusions, nrg1, fusion, trk, larotrectinib",5,2020.0
163,"goo, eusge, outlet, stent, als",6,2020.0
164,"ipmn, papillary, intraductal, pmp, mucinous",9,2020.0
165,"agonists, glp1, cvots, cv, cardiovascular",3,2020.0
166,"pacc, acinar, acc, dac, carcinoma",9,2020.0
167,"dc, vaccine, vaccination, vaccines, dendritic",10,2020.0
168,"alk5, compounds, grand, structurebased, virtual",5,2020.0
169,"senescence, nhfs, senescent, senescenceinduced, alox12",4,2020.0
170,"ipnb, intraductal, papillary, bile, ipnbs",10,2020.0
171,"her2, tdm1, her2positive, ierbb2i, trastuzumab",6,2020.0
172,"prss, cetuximab, immunotherapy, gi, checkpoint",6,2020.0
173,"mesenteric, left, sma, renal, vein",2,2020.0
175,"thyroid, ptc, rai, prepubertal, ft3",7,2020.0
176,"msln, mesothelin, lmb100, antimesothelin, mesothelioma",8,2020.0
177,"paad, irgps, signature, premsim, genes",6,2020.0
178,"complexes, ruii, ptii, silver, rhenium",7,2020.0
179,"ogtp, osteoclastlike, giant, ucogc, undifferentiated",4,2020.0
180,"isomirs, mir18a, mirna122, mirna96, imir21i",8,2020.0
181,"wtitp53i, p53, secretome, iphlda3i, iserpine1i",3,2020.0
182,"panel, specimens, rose, ultrasoundguided, endoscopic",2,2020.0
183,"signature, nondiabetes, demtgs, gene, mtgbased",6,2020.0
184,"variants, brca2, brca1, brca12, dh",4,2020.0
185,"cpa4, tob1, pa2g4, hpse, cit",6,2020.0
186,"ncimatch, subprotocols, actionable, cgp, molecular",3,2020.0
187,"gadoxetic, phlf, acidenhanced, mri, rhui",4,2020.0
188,"grading, eusfna, ki67, spts, eusfnb",5,2020.0
189,"sigmoid, rectal, case, breast, colon",9,2020.0
190,"obesity, adulthood, overweight, bmi, weight",6,2020.0
191,"melanoma, cdkn2a, pcms, fammm, germline",4,2020.0
192,"notch, dclk1, jag1, notch1, dll3",6,2020.0
193,"tils, cd160supsupcd8supsup, cd10, cd8supsup, cd160supsup",7,2020.0
194,"lung, pulmonary, singleorgan, metastasis, metastases",4,2020.0
195,"pbm, bile, maljunction, duct, gallbladder",6,2020.0
196,"sarscov2, ace2, covid19, infection, iace2i",8,2020.0
197,"cachexia, pcdm, weight, es, loss",5,2020.0
198,"alpps, pringle, maneuver, portal, vein",4,2020.0
199,"ramps, pancreatosplenectomy, antegrade, modular, radical",6,2020.0
200,"telomerase, telomere, tl, ltl, obp702",7,2020.0
201,"retracted, authors, article, journal, request",2,2020.0
202,"elderly, octogenarians, older, younger, lpd",4,2020.0
203,"nodm, diabetes, mellitus, dm, glucose",11,2020.0
204,"necrosectomy, lams, walledoff, won, transmural",2,2020.0
205,"hvtt, ehbhhvtt, intermediatestage, nodules, hcc",4,2020.0
206,"adc, diffusion, ivim, diffusionweighted, lymphadenopathy",11,2020.0
207,"pdx, engraftment, models, zebrafish, xenograft",14,2020.0
208,"mmp11, mmp14, matrix, metalloproteases, mmp7",5,2020.0
209,"ecm, piezo1, ecms, matrix, mechanical",4,2020.0
210,"covid19, sarscov2, coronavirus, infection, sarscox2",8,2020.0
211,"wnt, large2, catenin, wntcatenin, lscs",6,2020.0
212,"acthsecreting, acth, eas, ectopic, scoliosis",5,2020.0
213,"invasive, intraductal, papillary, mucinous, ipmn",4,2020.0
214,"peribiliary, glands, liver, hepatic, myelolipoma",4,2020.0
215,"enhancement, pax6, ct, nec, hypopnets",6,2020.0
216,"spcs, survivors, oldnice, died, second",5,2020.0
217,"examination, distant, she, head, s1",1,2020.0
218,"strictures, cholangioscopy, biliary, cytology, ercp",4,2020.0
219,"olaparib, ibrcai, ipalb2i, germline, ibrca2i",5,2020.0
220,"haic, tace, debtace, pvtt, licartin",9,2020.0
221,"sonoporation, vegfr2targeted, mb, microbubbles, pfus",7,2020.0
222,"elderly, older, hrsubadjsub, nl, underrepresented",6,2020.0
223,"dge, ngtd, emptying, pppd, fdge",3,2020.0
224,"sst2, ilc2s, il33, tilc2s, cxcl3",3,2020.0
225,"cannabinoids, cbd, thc, alam108, alam027",4,2020.0
226,"fip, fatty, steatosis, fat, ps100",2,2020.0
227,"kras, pops, trace, mutations, elements",3,2020.0
228,"nspef, electric, nanosecond, nspefs, pulsed",7,2020.0
229,"stat3, egfr, mutp53, src, inhibition",3,2020.0
230,"correction, paper, amendment, corrects, doi",16,2020.0
231,"papillectomy, ep, ampullary, endoscopic, adenoma",7,2020.0
232,"3dve, printing, 3d, ldp, threedimensional",2,2020.0
233,"testing, pv, consultations, genetic, germline",1,2020.0
234,"microrna1365p, mir146a5p, znf32, pca, gemcitabine",3,2020.0
235,"opioid, opioids, pain, methadone, mopr",4,2020.0
236,"pni, nutritional, conut, crpalb, nacrt",6,2020.0
237,"lnr, lymph, node, lodds, elns",7,2020.0
238,"shh, hh, hedgehog, gli1, gli2",6,2020.0
239,"hba1c, nod, diabetes, newonset, hemoglobin",4,2020.0
240,"cannulation, ercp, pep, dinitrate, naproxen",3,2020.0
241,"rg, gastrectomy, lg, robotic, agc",4,2020.0
242,"ctr1, tm, copper, panc1, atox1",1,2020.0
243,"ampullary, adjuvant, ampac, aov, ac",6,2020.0
244,"images, dualenergy, vnc, ct, dect",6,2020.0
245,"maraviroc, ron, mvc, ccr5, antiron",4,2020.0
246,"ins1, mid51, muciniphilai, mitochondrial, insulin",8,2020.0
247,"arterial, resections, ar, nonarterial, range",4,2020.0
248,"heterotopic, signet, duodenum, arising, ring",4,2020.0
249,"statin, statins, aspirin, crlm, use",4,2020.0
250,"tls, bt, lymphocytes, cd19cd3, g1g2",4,2020.0
251,"cancertestis, cit, hn1, kiaa1522, mex3a",6,2020.0
252,"iciassociated, pancreatitis, inhibitorinduced, checkpoint, icipi",2,2020.0
253,"pivkaii, afp, pivka, lcspik, hcc",5,2020.0
255,"bare, glove, multilayered, area, diaphragm",2,2020.0
256,"rfa, ablation, radiofrequency, postrfa, hsp70",4,2020.0
257,"eus, endoscopic, 101055a12303555, ultrasound, management",2,2020.0
258,"cd40, cdc1, pdaccs, cd8, agonist",6,2020.0
259,"raman, srs, stressresistant, repopulating, spectra",2,2020.0
260,"cga, neuroendocrine, actn4sv, cd56, g3",8,2020.0
262,"icca, crpalb, cholangiocarcinoma, 0089, intrahepatic",4,2020.0
263,"awareness, engagement, domains, booklet, regret",4,2020.0
264,"earlyonset, lateonset, iran, eopc, p0001",2,2020.0
265,"pet, panitumumabdotasup177suplulu, uptake, icam1, panitumumabdotasup111supinin",8,2020.0
266,"curcumin, docetaxel, il6neutralizing, il6erknfb, pscs",2,2020.0
267,"rfa, lrcrfa, vnguided, lr, radiofrequency",3,2020.0
268,"autophagyrelated, autophagy, signature, args, ripk2",7,2020.0
269,"varices, portal, vein, hypertension, variceal",10,2020.0
270,"spink1, erg, occc, pten, pca",5,2020.0
271,"macropinocytosis, scavenging, yaptaz, mtor, debris",2,2020.0
272,"liquid, biopsy, circulating, biopsies, ctcs",5,2020.0
273,"lung, sclc, miap, small, acute",6,2020.0
274,"gastrinoma, ppi, users, gastrin, neuroendocrine",5,2020.0
275,"hyperpolarized, 1sup13supcpyruvate, 1sup13supcpyruvateto1sup13supclactate, posub2sub, mct1",2,2020.0
276,"pcls, eusttnb, throughtheneedle, microhistology, cystic",5,2020.0
277,"language, cp, nlp, radiology, cl",1,2020.0
278,"subtyping, medicine, precision, gempred, okane",4,2020.0
279,"emt, emts, pcscs, stem, transition",3,2020.0
280,"galectin3, gal3, galectin9, gal1, galectin",7,2020.0
281,"cytopathology, ancillary, papanicolaou, categories, psc",2,2020.0
282,"pump, ppi, ppis, proton, ranitidine",7,2020.0
283,"peptides, peptide, bbn714, adrenomedullin, grpr",7,2020.0
284,"salivary, glands, polyamine, genesis, similarities",1,2020.0
285,"transfusion, periampullary, champ, intraoperative, blood",3,2020.0
286,"er, upr, pdi, ero1, stress",4,2020.0
287,"acat1, cholesterol, soat1, sqle, mevalonate",3,2020.0
288,"sirna, d5d, delivery, sirplgav, sirpplga",4,2020.0
289,"cy, cytology, peritoneal, nat, lavage",1,2020.0
290,"insulinoma, petct, insulinomas, glp1r, pet2",4,2020.0
291,"exo, penetrating, bmmscs, exos, mesenchymal",1,2020.0
292,"qol, points, hrqol, life, satisfaction",6,2020.0
293,"tuberculosis, tb, antituberculosis, ileocaecal, immunocompetent",5,2020.0
294,"mdt, enrollment, trials, trial, earlyphase",3,2020.0
295,"oxtr, oxt, mippspc, mppspc, oxytocin",3,2020.0
296,"psma, petct, fdg, peritumoralvascular, canal",5,2020.0
297,"flr, mvi, glr, phcc, nonmvi",3,2020.0
298,"fluorescence, indocyanine, icg, green, ldpphr",3,2020.0
299,"sida, gnas, cyst, cysts, fluid",2,2020.0
300,"ses, deaths, avoided, states, morbidities",5,2020.0
301,"eusrfa, insulinoma, ablation, radiofrequency, sporadic",2,2020.0
302,"egfr, quinazolinebased, amplification, mutations, tkis",3,2020.0
303,"bladder, melanoma, puc, rare, cdh1",5,2020.0
304,"baiap2l2, hoxd9, gc, wnt3acatenin, aktmtor",2,2020.0
305,"islet, transplantation, islets, tpiat, iat",6,2020.0
306,"handfoot, mcrc, dressing, hydrocolloid, cetuximab",5,2020.0
308,"ablation, mwa, microwave, subcardiac, percutaneous",5,2020.0
309,"dcs, antigenloading, mrna, vaccination, vaccines",1,2020.0
310,"leptomeningeal, folfirinox, thrombocytopenic, carcinomatosis, adenosquamous",5,2020.0
311,"splicing, cytosinerich, mutant, p53, coenrichment",1,2020.0
312,"ifit3, ifn, casp, vdac2, ifnar1",5,2020.0
313,"rhv, icg, borders, clamping, drainage",1,2020.0
314,"circadian, clock, rhythms, idec1i, icry1i",3,2020.0
315,"il17a, il17, il17rb, il17ail17ra, il17b",6,2020.0
316,"cd73, par4, cscs, ngd16, csc",3,2020.0
317,"imdc, iraes, camrelizumab, checkpoint, colitis",4,2020.0
318,"usp33, sp1, sp1cmet, cmet, hcc",1,2020.0
319,"anamorelin, cachexia, hochuekkito, et, al",2,2020.0
320,"neuropathy, cipn, oin, alogliptin, peripheral",4,2020.0
321,"eras, recovery, recommendations, enhanced, stay",2,2020.0
322,"hsp27, 17aag, heat, hsp90, shock",2,2020.0
323,"ewsr1fli1, vav1, krassupg12dsup, krassupg12dsupvav1, adm",4,2020.0
324,"pembrolizumab, bl8040, carcinoid, pdl1positive, cxcr4",3,2020.0
325,"hpd, bdr, bile, duct, bilin",5,2020.0
327,"hcvinfected, mirnome, hbv, infection, viral",1,2020.0
328,"will, coming, advances, cover, enter",1,2020.0
329,"splenectomy, dissection, hilar, rpsl, splenic",3,2020.0
330,"sems, stent, placement, obstruction, obstructions",3,2020.0
331,"appendix, appendiceal, prhc, appendectomy, hrqol",2,2020.0
332,"pdl1, fbp1, pd1, polymorphisms, stat3dependent",2,2020.0
334,"al, stoma, ce, aal, anastomotic",3,2020.0
335,"pdxgem, influential, crbp1, foxj1, cooccurring",4,2020.0
336,"icidm, diabetes, iciinduced, ketoacidosis, autoantibodies",3,2020.0
337,"meht, hyperthermia, tcht, panc1, electrohyperthermia",3,2020.0
338,"hhla2, hlai, hlab, b7h3, cd28h",4,2020.0
